show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,duration_minutes,duration_seasons
s1,Movie,Movie Title 1,Bong Joon Ho,Actor 109,Spain,2018-12-21,2015,PG,70 min,"Comedies, Crime TV Shows",A story exploring themes of comedies.,2018.0,70.0,
s2,TV Show,Series Title 2,Rajiv Menon,"Actor 377, Actor 98, Actor 31, Actor 57",India,2020-04-12,2020,TV-G,8 Seasons,"Documentaries, Thrillers, Sci-Fi & Fantasy",A story exploring themes of documentaries.,2020.0,,8.0
s3,TV Show,Series Title 3,Greg Daniels,"Actor 47, Actor 365, Actor 206",Australia,2017-03-08,2017,TV-MA,7 Seasons,"Horror Movies, Action & Adventure, Stand-Up Comedy",A story exploring themes of horror movies.,2017.0,,7.0
s4,Movie,Movie Title 4,Jane Campion,Actor 233,"Brazil, Germany",2004-07-03,2001,TV-Y7,83 min,Horror Movies,A story exploring themes of horror movies.,2004.0,83.0,
s5,Movie,Movie Title 5,Martin Scorsese,Actor 279,Mexico,,2018,R,150 min,"Action & Adventure, Horror Movies, Kids' TV",A story exploring themes of action & adventure.,,150.0,
s6,TV Show,Series Title 6,Bong Joon Ho,"Actor 179, Actor 153",Australia,2008-07-20,2005,TV-PG,2 Seasons,"Crime TV Shows, Stand-Up Comedy, International Movies",A story exploring themes of crime tv shows.,2008.0,,2.0
s7,Movie,Movie Title 7,Denis Villeneuve,"Actor 86, Actor 143","Brazil, United States",2002-03-17,1999,PG,92 min,Documentaries,A story exploring themes of documentaries.,2002.0,92.0,
s8,TV Show,Series Title 8,Rajiv Menon,"Actor 329, Actor 190, Actor 320, Actor 322, Actor 139",Australia,2004-07-15,2004,TV-PG,5 Seasons,Romantic Movies,A story exploring themes of romantic movies.,2004.0,,5.0
s9,TV Show,Series Title 9,Unknown,Actor 116,"India, Mexico",2021-11-01,2018,NR,1 Seasons,"Action & Adventure, Thrillers",A story exploring themes of action & adventure.,2021.0,,1.0
s10,Movie,Movie Title 10,Rajiv Menon,Actor 33,United Kingdom,2011-12-27,2008,PG,98 min,"Horror Movies, Dramas",A story exploring themes of horror movies.,2011.0,98.0,
s11,Movie,Movie Title 11,Kunle Afolayan,"Actor 29, Actor 321, Actor 387","Germany, Brazil",2013-07-18,2011,TV-PG,153 min,Anime Series,A story exploring themes of anime series.,2013.0,153.0,
s12,Movie,Movie Title 12,Unknown,"Actor 293, Actor 127, Actor 161, Actor 165, Actor 108","India, Australia",2014-06-05,2011,R,79 min,"Anime Series, British TV Shows",A story exploring themes of anime series.,2014.0,79.0,
s13,Movie,Movie Title 13,Greg Daniels,Not listed,Germany,2009-03-16,2007,PG-13,77 min,Reality TV,A story exploring themes of reality tv.,2009.0,77.0,
s14,Movie,Movie Title 14,Sofia Coppola,Actor 197,Mexico,2015-03-25,2012,NR,144 min,Kids' TV,A story exploring themes of kids' tv.,2015.0,144.0,
s15,Movie,Movie Title 15,Unknown,"Actor 392, Actor 305, Actor 300",India,2002-03-05,1999,TV-14,118 min,"Horror Movies, Crime TV Shows, Kids' TV",A story exploring themes of horror movies.,2002.0,118.0,
s16,Movie,Movie Title 16,Ava DuVernay,"Actor 242, Actor 265","United Kingdom, Nigeria",2005-11-22,2004,TV-PG,90 min,Crime TV Shows,A story exploring themes of crime tv shows.,2005.0,90.0,
s17,TV Show,Series Title 17,Bong Joon Ho,"Actor 235, Actor 293",Japan,,2009,PG-13,8 Season,"Documentaries, Action & Adventure, British TV Shows",A story exploring themes of documentaries.,,,8.0
s18,TV Show,Series Title 18,Denis Villeneuve,"Actor 215, Actor 367, Actor 156, Actor 124, Actor 25",Canada,2008-10-21,2005,TV-PG,3 Seasons,"Romantic Movies, Sci-Fi & Fantasy",A story exploring themes of romantic movies.,2008.0,,3.0
s19,Movie,Movie Title 19,Denis Villeneuve,"Actor 389, Actor 79","Australia, South Korea",2004-06-09,2001,TV-14,132 min,"Reality TV, Documentaries, Stand-Up Comedy",A story exploring themes of reality tv.,2004.0,132.0,
s20,TV Show,Series Title 20,Kunle Afolayan,"Actor 140, Actor 245, Actor 348, Actor 27, Actor 197","United States, Australia",2022-02-20,2019,TV-G,1 Seasons,Dramas,A story exploring themes of dramas.,2022.0,,1.0
s21,Movie,Movie Title 21,Rajiv Menon,"Actor 313, Actor 281, Actor 356","Japan, Brazil",2012-09-23,2011,NR,141 min,"Anime Series, British TV Shows",A story exploring themes of anime series.,2012.0,141.0,
s22,Movie,Movie Title 22,Martin Scorsese,"Actor 87, Actor 302",Brazil,2004-04-26,2003,TV-PG,119 min,"Anime Series, Thrillers, Romantic Movies",A story exploring themes of anime series.,2004.0,119.0,
s23,Movie,Movie Title 23,Greg Daniels,"Actor 18, Actor 226, Actor 188, Actor 269",Australia,2004-02-12,2003,TV-G,148 min,Documentaries,A story exploring themes of documentaries.,2004.0,148.0,
s24,Movie,Movie Title 24,Jane Campion,Actor 125,"Japan, Germany",2010-07-08,2010,PG-13,111 min,Kids' TV,A story exploring themes of kids' tv.,2010.0,111.0,
s25,Movie,Movie Title 25,Unknown,"Actor 14, Actor 296, Actor 162",Germany,2003-09-05,2000,PG,150 min,International Movies,A story exploring themes of international movies.,2003.0,150.0,
s26,Movie,Movie Title 26,Ava DuVernay,"Actor 124, Actor 81, Actor 290, Actor 102, Actor 310","United Kingdom, India",2014-11-17,2013,PG,150 min,"Documentaries, Horror Movies",A story exploring themes of documentaries.,2014.0,150.0,
s27,Movie,Movie Title 27,Bong Joon Ho,Actor 281,Nigeria,2005-08-02,2004,R,178 min,"Sci-Fi & Fantasy, British TV Shows",A story exploring themes of sci-fi & fantasy.,2005.0,178.0,
s28,TV Show,Series Title 28,Ava DuVernay,"Actor 29, Actor 203, Actor 13","Australia, United Kingdom",2020-05-01,2020,NR,6 Seasons,Comedies,A story exploring themes of comedies.,2020.0,,6.0
s29,Movie,Movie Title 29,Martin Scorsese,"Actor 261, Actor 359, Actor 77, Actor 254, Actor 370",Japan,2019-08-20,2019,R,166 min,Anime Series,A story exploring themes of anime series.,2019.0,166.0,
s30,Movie,Movie Title 30,Denis Villeneuve,Actor 63,"Canada, Spain",2001-03-27,1998,NR,63 min,Documentaries,A story exploring themes of documentaries.,2001.0,63.0,
s31,Movie,Movie Title 31,Jane Campion,Actor 93,"United States, India",2011-03-03,2010,TV-Y7,138 min,"Crime TV Shows, Comedies, Stand-Up Comedy",A story exploring themes of crime tv shows.,2011.0,138.0,
s32,Movie,Movie Title 32,Martin Scorsese,Actor 27,Unknown,2020-08-17,2017,TV-14,122 min,Dramas,A story exploring themes of dramas.,2020.0,122.0,
s33,Movie,Movie Title 33,Unknown,"Actor 128, Actor 391, Actor 335, Actor 98, Actor 368",Canada,2020-12-22,2017,NR,91 min,"Anime Series, Documentaries",A story exploring themes of anime series.,2020.0,91.0,
s34,Movie,Movie Title 34,Unknown,"Actor 358, Actor 397, Actor 127, Actor 318, Actor 112","Nigeria, Germany",2006-07-10,2005,NR,60 min,"Action & Adventure, Sci-Fi & Fantasy, Romantic Movies",A story exploring themes of action & adventure.,2006.0,60.0,
s35,TV Show,Series Title 35,Greg Daniels,"Actor 174, Actor 368, Actor 380",Nigeria,2000-03-02,2000,NR,4 Seasons,"Kids' TV, Dramas, Stand-Up Comedy",A story exploring themes of kids' tv.,2000.0,,4.0
s36,Movie,Movie Title 36,Unknown,"Actor 166, Actor 6, Actor 173, Actor 279","Canada, India",2013-04-12,2013,TV-14,142 min,"Sci-Fi & Fantasy, Anime Series, Music & Musicals",A story exploring themes of sci-fi & fantasy.,2013.0,142.0,
s37,Movie,Movie Title 37,Bong Joon Ho,"Actor 132, Actor 23, Actor 214",United Kingdom,,2009,TV-Y7,90 min,Romantic Movies,A story exploring themes of romantic movies.,,90.0,
s38,Movie,Movie Title 38,Denis Villeneuve,"Actor 197, Actor 291, Actor 186, Actor 263, Actor 343","Australia, Canada",2012-05-24,2010,PG-13,120 min,"Sci-Fi & Fantasy, International Movies, Stand-Up Comedy",A story exploring themes of sci-fi & fantasy.,2012.0,120.0,
s39,TV Show,Series Title 39,Greg Daniels,"Actor 217, Actor 198, Actor 152, Actor 376","United States, France",2012-10-20,2011,TV-PG,6 Seasons,"Anime Series, Action & Adventure",A story exploring themes of anime series.,2012.0,,6.0
s40,Movie,Movie Title 40,Unknown,Not listed,Unknown,2005-08-02,2004,TV-G,71 min,"Stand-Up Comedy, Dramas",A story exploring themes of stand-up comedy.,2005.0,71.0,
s41,Movie,Movie Title 41,Ava DuVernay,"Actor 209, Actor 242",Germany,2002-12-12,2002,NR,84 min,"Reality TV, International Movies",A story exploring themes of reality tv.,2002.0,84.0,
s42,TV Show,Series Title 42,Martin Scorsese,Actor 297,France,2006-02-10,2004,TV-G,2 Season,"Horror Movies, Reality TV, Sci-Fi & Fantasy",A story exploring themes of horror movies.,2006.0,,2.0
s43,Movie,Movie Title 43,Denis Villeneuve,"Actor 361, Actor 380, Actor 99, Actor 173",Japan,2012-06-04,2011,PG,111 min,"Stand-Up Comedy, Documentaries, British TV Shows",A story exploring themes of stand-up comedy.,2012.0,111.0,
s44,TV Show,Series Title 44,Unknown,"Actor 112, Actor 12, Actor 281, Actor 121, Actor 167",United States,,2019,TV-Y7,5 Seasons,"Reality TV, Stand-Up Comedy, Kids' TV",A story exploring themes of reality tv.,,,5.0
s45,Movie,Movie Title 45,Kunle Afolayan,"Actor 44, Actor 324, Actor 324",France,2002-03-25,2001,TV-G,70 min,"Crime TV Shows, Kids' TV",A story exploring themes of crime tv shows.,2002.0,70.0,
s46,TV Show,Series Title 46,Kunle Afolayan,"Actor 204, Actor 295, Actor 46, Actor 284","Nigeria, Australia",2009-03-15,2009,TV-PG,1 Seasons,Romantic Movies,A story exploring themes of romantic movies.,2009.0,,1.0
s47,Movie,Movie Title 47,Kunle Afolayan,"Actor 71, Actor 331, Actor 256",Japan,2018-04-22,2015,TV-Y7,179 min,"Sci-Fi & Fantasy, Stand-Up Comedy",A story exploring themes of sci-fi & fantasy.,2018.0,179.0,
s48,Movie,Movie Title 48,Unknown,"Actor 359, Actor 164, Actor 247, Actor 374","Brazil, France",,2007,NR,81 min,"British TV Shows, International Movies",A story exploring themes of british tv shows.,,81.0,
s49,Movie,Movie Title 49,Martin Scorsese,Not listed,France,2003-05-17,2000,TV-PG,110 min,British TV Shows,A story exploring themes of british tv shows.,2003.0,110.0,
s50,TV Show,Series Title 50,Greg Daniels,"Actor 228, Actor 174, Actor 3, Actor 325",Unknown,2011-08-09,2010,R,8 Seasons,Reality TV,A story exploring themes of reality tv.,2011.0,,8.0
s51,Movie,Movie Title 51,Rajiv Menon,"Actor 116, Actor 121, Actor 358, Actor 389",Brazil,2001-11-21,2000,R,138 min,International Movies,A story exploring themes of international movies.,2001.0,138.0,
s52,Movie,Movie Title 52,Ava DuVernay,"Actor 24, Actor 382, Actor 237","Mexico, India",2018-06-06,2016,NR,77 min,"Crime TV Shows, Dramas, International Movies",A story exploring themes of crime tv shows.,2018.0,77.0,
