InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,is_cancellation,line_revenue,date,year_month,year,month,weekday,hour,month_label
575867,23242,TREASURE TIN BUFFALO BILL,6,2011-11-11 12:44:00,2.08,15034,United Kingdom,False,12.48,2011-11-11,2011-11,2011,11,Friday,12,2011-11
559899,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,2011-07-13 12:24:00,2.95,12528,Germany,False,35.400000000000006,2011-07-13,2011-07,2011,7,Wednesday,12,2011-07
569401,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-10-04 08:56:00,0.83,15111,United Kingdom,False,13.28,2011-10-04,2011-10,2011,10,Tuesday,8,2011-10
560041,22625,RED KITCHEN SCALES,2,2011-07-14 14:46:00,8.5,14156,EIRE,False,17.0,2011-07-14,2011-07,2011,7,Thursday,14,2011-07
548257,85099B,JUMBO BAG RED RETROSPOT,200,2011-03-30 10:54:00,1.65,13802,United Kingdom,False,330.0,2011-03-30,2011-03,2011,3,Wednesday,10,2011-03
552042,22321,BIRD DECORATION RED RETROSPOT,12,2011-05-06 09:00:00,0.85,13952,United Kingdom,False,10.2,2011-05-06,2011-05,2011,5,Friday,9,2011-05
563540,20726,LUNCH BAG WOODLAND,10,2011-08-17 12:04:00,1.65,12473,Germany,False,16.5,2011-08-17,2011-08,2011,8,Wednesday,12,2011-08
575634,23209,LUNCH BAG VINTAGE DOILY,10,2011-11-10 13:44:00,1.65,13266,United Kingdom,False,16.5,2011-11-10,2011-11,2011,11,Thursday,13,2011-11
578088,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-11-22 16:47:00,0.55,16376,United Kingdom,False,0.55,2011-11-22,2011-11,2011,11,Tuesday,16,2011-11
580874,23209,LUNCH BAG VINTAGE DOILY,30,2011-12-06 12:09:00,1.65,14735,United Kingdom,False,49.5,2011-12-06,2011-12,2011,12,Tuesday,12,2011-12
573248,23301,GARDENERS KNEELING PAD KEEP CALM,4,2011-10-28 12:09:00,1.65,14498,United Kingdom,False,6.6,2011-10-28,2011-10,2011,10,Friday,12,2011-10
550193,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-04-15 09:27:00,2.1,13952,United Kingdom,False,12.6,2011-04-15,2011-04,2011,4,Friday,9,2011-04
566539,22966,GINGERBREAD MAN COOKIE CUTTER,3,2011-09-13 11:34:00,1.25,17228,United Kingdom,False,3.75,2011-09-13,2011-09,2011,9,Tuesday,11,2011-09
554096,22088,PAPER BUNTING COLOURED LACE,6,2011-05-22 12:51:00,2.95,14921,United Kingdom,False,17.700000000000003,2011-05-22,2011-05,2011,5,Sunday,12,2011-05
545518,85099F,JUMBO BAG STRAWBERRY,10,2011-03-03 12:24:00,1.95,18218,United Kingdom,False,19.5,2011-03-03,2011-03,2011,3,Thursday,12,2011-03
561208,22356,CHARLOTTE BAG PINK POLKADOT,100,2011-07-25 16:39:00,0.72,15372,United Kingdom,False,72.0,2011-07-25,2011-07,2011,7,Monday,16,2011-07
567579,21175,GIN + TONIC DIET METAL SIGN,12,2011-09-21 10:48:00,2.55,18228,United Kingdom,False,30.6,2011-09-21,2011-09,2011,9,Wednesday,10,2011-09
575943,22617,BAKING SET SPACEBOY DESIGN,3,2011-11-13 11:44:00,4.95,17920,United Kingdom,False,14.85,2011-11-13,2011-11,2011,11,Sunday,11,2011-11
549729,21930,JUMBO STORAGE BAG SKULLS,2,2011-04-11 16:17:00,2.08,13634,United Kingdom,False,4.16,2011-04-11,2011-04,2011,4,Monday,16,2011-04
557287,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2011-06-19 12:47:00,12.75,18109,United Kingdom,False,12.75,2011-06-19,2011-06,2011,6,Sunday,12,2011-06
572302,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-10-23 14:47:00,0.29,15427,United Kingdom,False,13.919999999999998,2011-10-23,2011-10,2011,10,Sunday,14,2011-10
578541,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-11-24 15:01:00,4.95,14277,France,False,14.85,2011-11-24,2011-11,2011,11,Thursday,15,2011-11
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,False,3380.0,2011-04-18,2011-04,2011,4,Monday,13,2011-04
537646,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-07 15:39:00,1.25,17591,United Kingdom,False,1.25,2010-12-07,2010-12,2010,12,Tuesday,15,2010-12
573413,23517,EMBROIDERED RIBBON REEL REBECCA,2,2011-10-30 16:12:00,2.89,15444,United Kingdom,False,5.78,2011-10-30,2011-10,2011,10,Sunday,16,2011-10
558881,21403,BLUE EGG  SPOON,24,2011-07-04 14:36:00,0.12,12705,Germany,False,2.88,2011-07-04,2011-07,2011,7,Monday,14,2011-07
557762,21930,JUMBO STORAGE BAG SKULLS,10,2011-06-22 14:01:00,2.08,15810,United Kingdom,False,20.8,2011-06-22,2011-06,2011,6,Wednesday,14,2011-06
562928,22988,SOLDIERS EGG CUP,12,2011-08-10 15:29:00,1.25,15494,United Kingdom,False,15.0,2011-08-10,2011-08,2011,8,Wednesday,15,2011-08
569211,23330,DECORATIVE WICKER HEART MEDIUM,6,2011-10-02 12:04:00,1.25,15774,United Kingdom,False,7.5,2011-10-02,2011-10,2011,10,Sunday,12,2011-10
544803,22475,SKULL DESIGN TV DINNER TRAY,1,2011-02-23 14:29:00,4.95,14606,United Kingdom,False,4.95,2011-02-23,2011-02,2011,2,Wednesday,14,2011-02
556469,21791,VINTAGE HEADS AND TAILS CARD GAME,12,2011-06-12 11:37:00,1.25,12516,Germany,False,15.0,2011-06-12,2011-06,2011,6,Sunday,11,2011-06
