PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,CabinKnown,FamilySize,IsAlone,AgeGroup
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,0,2,0,Adult
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,1,2,0,Middle-aged
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,0,1,1,Adult
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,1,2,0,Adult
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,0,1,1,Adult
6,0,3,"Moran, Mr. James",male,26.0,0,0,330877,8.4583,,Q,0,1,1,Adult
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,1,1,1,Middle-aged
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,0,5,0,Child
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,0,3,0,Adult
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,0,2,0,Teen
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,1,3,0,Child
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,1,1,1,Middle-aged
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,0,1,1,Adult
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,0,7,0,Middle-aged
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,0,1,1,Teen
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,0,1,1,Middle-aged
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,0,6,0,Child
18,1,2,"Williams, Mr. Charles Eugene",male,26.0,0,0,244373,13.0,,S,0,1,1,Adult
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,0,2,0,Adult
20,1,3,"Masselmani, Mrs. Fatima",female,26.0,0,0,2649,7.225,,C,0,1,1,Adult
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,0,1,1,Adult
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,1,1,1,Adult
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,0,1,1,Teen
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,1,1,1,Adult
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,0,5,0,Child
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,0,7,0,Middle-aged
27,0,3,"Emir, Mr. Farred Chehab",male,26.0,0,0,2631,7.225,,C,0,1,1,Adult
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,1,6,0,Adult
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,26.0,0,0,330959,7.8792,,Q,0,1,1,Adult
30,0,3,"Todoroff, Mr. Lalio",male,26.0,0,0,349216,7.8958,,S,0,1,1,Adult
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,0,1,1,Middle-aged
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,26.0,1,0,PC 17569,146.5208,B78,C,1,2,0,Adult
33,1,3,"Glynn, Miss. Mary Agatha",female,26.0,0,0,335677,7.75,,Q,0,1,1,Adult
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,0,1,1,Senior
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,0,2,0,Adult
