Rank,Country,Region,HappinessScore,GDPperCapita,SocialSupport,LifeExpectancy,Freedom,Generosity,PerceptionsOfCorruption
1,Norway,Western Europe,7.579,10.362,7.645,6.862,0.97,0.133,0.237
2,Malta,Western Europe,7.475,10.361,7.845,6.794,0.951,0.1,0.078
3,Japan,East Asia,7.463,9.455,7.525,6.696,1.194,-0.048,0.035
4,Australia,Oceania,7.408,9.766,7.631,6.531,0.763,0.173,0.103
5,Belgium,Western Europe,7.395,10.204,8.507,7.627,0.999,-0.048,0.02
6,Sweden,Western Europe,7.378,10.156,7.996,6.976,0.732,0.052,0.103
7,Italy,Western Europe,7.357,10.518,7.836,6.225,0.736,0.348,0.322
8,Iceland,Western Europe,7.335,9.608,8.086,6.612,0.912,-0.002,0.272
9,New Zealand,Oceania,7.293,10.43,7.757,6.606,1.08,0.071,0.022
10,Finland,Western Europe,7.274,9.541,8.004,6.933,0.644,-0.095,0.163
11,Luxembourg,Western Europe,7.193,10.076,7.084,6.707,0.664,0.05,0.166
12,Spain,Western Europe,7.164,9.611,7.224,6.573,0.852,-0.084,0.022
13,Portugal,Western Europe,7.156,10.612,7.665,6.493,0.824,-0.055,0.026
14,Netherlands,Western Europe,7.1,9.124,7.564,6.668,0.89,-0.026,0.068
15,Greece,Western Europe,7.038,9.794,7.547,6.183,1.058,0.211,0.134
16,Denmark,Western Europe,7.021,9.411,7.904,6.745,0.935,0.269,0.197
17,Slovenia,Central & Eastern Europe,6.932,9.115,6.999,6.14,1.083,0.133,0.025
18,Switzerland,Western Europe,6.926,9.337,7.571,6.434,0.972,0.165,0.364
19,Ireland,Western Europe,6.885,8.853,7.308,6.054,0.94,0.103,0.31
20,Germany,Western Europe,6.752,8.567,7.095,5.627,0.822,0.295,0.114
21,Austria,Western Europe,6.724,9.335,7.183,6.349,0.829,0.124,0.213
22,United Kingdom,Western Europe,6.709,9.007,7.102,5.739,0.998,0.067,0.02
23,Armenia,Central & Eastern Europe,6.667,8.815,7.187,5.548,0.794,0.028,0.097
24,Canada,North America,6.627,8.811,6.529,5.803,1.002,-0.159,0.193
25,Indonesia,Southeast Asia,6.497,7.82,6.407,5.901,0.619,0.321,0.072
26,Serbia,Central & Eastern Europe,6.465,8.628,6.648,5.989,0.817,0.222,0.064
27,Slovakia,Central & Eastern Europe,6.387,9.349,6.83,6.068,0.517,-0.073,0.032
28,Croatia,Central & Eastern Europe,6.371,9.233,6.167,5.396,0.891,0.342,0.02
29,Ecuador,Latin America,6.344,8.94,6.382,5.265,0.78,0.168,0.02
30,Honduras,Latin America,6.338,8.683,5.932,5.654,1.006,0.259,0.112
31,Bulgaria,Central & Eastern Europe,6.322,8.211,7.053,5.389,0.753,0.181,0.096
32,United States,North America,6.302,8.891,6.954,6.361,0.998,0.154,0.296
33,France,Western Europe,6.209,8.532,6.747,6.421,0.885,0.247,0.1
34,Ukraine,Central & Eastern Europe,6.194,9.226,6.787,6.315,0.883,-0.026,0.02
35,Colombia,Latin America,6.16,7.829,6.242,5.92,0.923,0.36,0.121
36,Philippines,Southeast Asia,6.149,8.773,7.035,5.642,0.871,-0.005,0.109
37,Mongolia,East Asia,6.138,8.063,7.117,5.406,1.086,-0.066,0.085
38,Argentina,Latin America,6.136,8.849,6.262,5.389,0.527,0.076,0.02
39,Iraq,Middle East,6.134,8.371,6.354,5.613,1.131,0.412,0.054
40,Chile,Latin America,6.125,9.03,6.597,5.464,0.824,0.136,0.061
41,Paraguay,Latin America,6.097,8.025,6.367,5.034,0.935,0.199,0.073
42,South Korea,East Asia,6.085,8.232,6.452,5.095,0.81,0.06,0.064
43,El Salvador,Latin America,6.019,8.117,6.173,5.158,0.864,0.024,0.02
44,Brazil,Latin America,6.008,8.933,6.601,5.852,0.543,0.093,0.02
45,Uruguay,Latin America,6.004,8.021,6.166,5.425,1.048,-0.2,0.036
46,Romania,Central & Eastern Europe,5.973,7.534,5.183,4.531,1.118,-0.093,0.02
